Number,Year,Month,Day,Hour,Minute,Temp,Salinity
126,2019,6,8,0,55,8.099,35.0529
127,2019,6,8,1,0,8.098,35.0509
128,2019,6,8,1,5,8.099,35.0489
129,2019,6,8,1,10,8.1,35.0469
130,2019,6,8,1,15,8.099,35.0469
131,2019,6,8,1,20,8.099,35.0469
132,2019,6,8,1,25,8.097,35.0479
133,2019,6,8,1,30,8.099,35.0449
134,2019,6,8,1,35,8.099,35.0429
135,2019,6,8,1,40,8.099,35.0429
136,2019,6,8,1,45,8.099,35.0369
137,2019,6,8,1,50,8.097,35.0379
138,2019,6,8,1,55,8.097,35.0369
139,2019,6,8,2,0,8.096,35.0349
140,2019,6,8,2,5,8.094,35.0349
141,2019,6,8,2,10,8.094,35.0329
142,2019,6,8,2,15,8.097,35.0299
143,2019,6,8,2,20,8.096,35.0279
144,2019,6,8,2,25,8.096,35.0269
145,2019,6,8,2,30,8.095,35.0269
146,2019,6,8,2,35,8.094,35.0619
147,2019,6,8,2,40,8.095,35.0609
148,2019,6,8,2,45,8.094,35.0619
149,2019,6,8,2,50,8.099,35.0579
150,2019,6,8,2,55,8.096,35.0589
151,2019,6,8,3,0,8.095,35.0609
152,2019,6,8,3,5,8.096,35.0579
153,2019,6,8,3,10,8.094,35.0599
154,2019,6,8,3,15,8.093,35.0589
155,2019,6,8,3,20,8.092,35.0609
156,2019,6,8,3,25,8.093,35.0589
157,2019,6,8,3,30,8.092,35.0599
158,2019,6,8,3,35,8.09,35.0609
159,2019,6,8,3,40,8.091,35.0589
160,2019,6,8,3,45,8.091,35.0589
161,2019,6,8,3,50,8.092,35.0579
162,2019,6,8,3,55,8.09,35.0599
163,2019,6,8,4,0,8.089,35.0599
164,2019,6,8,4,5,8.09,35.0589
165,2019,6,8,4,10,8.09,35.0579
166,2019,6,8,4,15,8.09,35.0569
167,2019,6,8,4,20,8.092,35.0569
168,2019,6,8,4,25,8.091,35.0569
169,2019,6,8,4,30,8.092,35.0579
170,2019,6,8,4,35,8.093,35.0589
171,2019,6,8,4,40,8.096,35.0559
172,2019,6,8,4,45,8.093,35.0589
173,2019,6,8,4,50,8.094,35.0589
174,2019,6,8,4,55,8.094,35.0599
175,2019,6,8,5,0,8.096,35.0589
176,2019,6,8,5,5,8.094,35.0609
177,2019,6,8,5,10,8.094,35.0599
178,2019,6,8,5,15,8.094,35.0609
179,2019,6,8,5,20,8.094,35.0609
180,2019,6,8,5,25,8.095,35.0599
181,2019,6,8,5,30,8.096,35.0609
182,2019,6,8,5,35,8.098,35.0599
183,2019,6,8,5,40,8.096,35.0639
184,2019,6,8,5,45,8.097,35.0619
185,2019,6,8,5,50,8.098,35.0619
186,2019,6,8,5,55,8.099,35.0619
187,2019,6,8,6,0,8.104,35.0589
188,2019,6,8,6,5,8.1,35.0649
189,2019,6,8,6,10,8.101,35.0639
190,2019,6,8,6,15,8.099,35.0639
191,2019,6,8,6,20,8.099,35.0649
192,2019,6,8,6,25,8.099,35.0659
193,2019,6,8,6,30,8.099,35.0649
194,2019,6,8,6,35,8.097,35.0659
195,2019,6,8,6,40,8.096,35.0669
196,2019,6,8,6,45,8.094,35.0679
197,2019,6,8,6,50,8.096,35.0669
198,2019,6,8,6,55,8.095,35.0679
199,2019,6,8,7,0,8.095,35.0689
200,2019,6,8,7,5,8.092,35.0719
201,2019,6,8,7,10,8.095,35.0699
202,2019,6,8,7,15,8.095,35.0709
203,2019,6,8,7,20,8.095,35.0719
204,2019,6,8,7,25,8.096,35.0709
205,2019,6,8,7,30,8.096,35.0729
206,2019,6,8,7,35,8.096,35.0729
207,2019,6,8,7,40,8.095,35.0739
208,2019,6,8,7,45,8.095,35.0739
209,2019,6,8,7,50,8.094,35.0759
210,2019,6,8,7,55,8.095,35.0739
211,2019,6,8,8,0,8.094,35.0749
212,2019,6,8,8,5,8.093,35.0759
213,2019,6,8,8,10,8.094,35.0749
214,2019,6,8,8,15,8.094,35.0759
215,2019,6,8,8,20,8.093,35.0759
216,2019,6,8,8,25,8.095,35.0739
217,2019,6,8,8,30,8.092,35.0759
218,2019,6,8,8,35,8.091,35.0759
219,2019,6,8,8,40,8.088,35.0769
220,2019,6,8,8,45,8.087,35.0759
221,2019,6,8,8,50,8.088,35.0769
222,2019,6,8,8,55,8.09,35.0749
223,2019,6,8,9,0,8.092,35.0739
224,2019,6,8,9,5,8.095,35.0729
225,2019,6,8,9,10,8.092,35.0769
226,2019,6,8,9,15,8.094,35.0749
227,2019,6,8,9,20,8.093,35.0749
228,2019,6,8,9,25,8.094,35.0749
229,2019,6,8,9,30,8.094,35.0749
230,2019,6,8,9,35,8.095,35.0739
231,2019,6,8,9,40,8.094,35.0759
232,2019,6,8,9,45,8.092,35.0769
233,2019,6,8,9,50,8.094,35.0749
234,2019,6,8,9,55,8.096,35.0739
235,2019,6,8,10,0,8.098,35.0739
236,2019,6,8,10,5,8.096,35.0749
237,2019,6,8,10,10,8.099,35.0739
238,2019,6,8,10,15,8.1,35.0729
239,2019,6,8,10,20,8.1,35.0739
240,2019,6,8,10,25,8.102,35.0739
241,2019,6,8,10,30,8.103,35.0739
242,2019,6,8,10,35,8.104,35.0739
243,2019,6,8,10,40,8.109,35.0699
244,2019,6,8,10,45,8.108,35.0719
245,2019,6,8,10,50,8.11,35.0709
246,2019,6,8,10,55,8.109,35.0719
247,2019,6,8,11,0,8.107,35.0739
248,2019,6,8,11,5,8.108,35.0729
249,2019,6,8,11,10,8.107,35.0739
250,2019,6,8,11,15,8.108,35.0729
251,2019,6,8,11,20,8.108,35.0729
252,2019,6,8,11,25,8.105,35.0739
253,2019,6,8,11,30,8.105,35.0739
254,2019,6,8,11,35,8.109,35.0709
255,2019,6,8,11,40,8.112,35.0709
256,2019,6,8,11,45,8.115,35.0699
257,2019,6,8,11,50,8.119,35.0699
258,2019,6,8,11,55,8.122,35.0699
259,2019,6,8,12,0,8.123,35.0719
260,2019,6,8,12,5,8.125,35.0719
261,2019,6,8,12,10,8.128,35.0709
262,2019,6,8,12,15,8.131,35.0719
263,2019,6,8,12,20,8.13,35.0739
264,2019,6,8,12,25,8.13,35.0739
265,2019,6,8,12,30,8.131,35.0739
266,2019,6,8,12,35,8.134,35.0729
267,2019,6,8,12,40,8.136,35.0719
268,2019,6,8,12,45,8.137,35.0729
269,2019,6,8,12,50,8.135,35.0739
270,2019,6,8,12,55,8.14,35.0709
271,2019,6,8,13,0,8.142,35.0729
272,2019,6,8,13,5,8.14,35.0749
273,2019,6,8,13,10,8.138,35.0729
274,2019,6,8,13,15,8.14,35.0719
275,2019,6,8,13,20,8.139,35.0709
276,2019,6,8,13,25,8.141,35.0699
277,2019,6,8,13,30,8.143,35.0699
278,2019,6,8,13,35,8.138,35.0719
279,2019,6,8,13,40,8.138,35.0719
280,2019,6,8,13,45,8.143,35.0679
281,2019,6,8,13,50,8.147,35.0659
282,2019,6,8,13,55,8.149,35.0679
283,2019,6,8,14,0,8.149,35.0679
284,2019,6,8,14,5,8.147,35.0679
285,2019,6,8,14,10,8.147,35.0669
286,2019,6,8,14,15,8.145,35.0659
287,2019,6,8,14,20,8.146,35.0659
288,2019,6,8,14,25,8.143,35.0689
289,2019,6,8,14,30,8.142,35.0689
290,2019,6,8,14,35,8.141,35.0689
291,2019,6,8,14,40,8.141,35.0689
292,2019,6,8,14,45,8.141,35.0699
293,2019,6,8,14,50,8.138,35.0719
294,2019,6,8,14,55,8.14,35.0699
295,2019,6,8,15,0,8.14,35.0719
296,2019,6,8,15,5,8.141,35.0719
297,2019,6,8,15,10,8.143,35.0699
298,2019,6,8,15,15,8.144,35.0699
299,2019,6,8,15,20,8.147,35.0679
300,2019,6,8,15,25,8.152,35.0669
301,2019,6,8,15,30,8.153,35.0679
302,2019,6,8,15,35,8.156,35.0659
303,2019,6,8,15,40,8.154,35.0689
304,2019,6,8,15,45,8.149,35.0709
305,2019,6,8,15,50,8.147,35.0679
306,2019,6,8,15,55,8.144,35.0689
307,2019,6,8,16,0,8.142,35.0689
308,2019,6,8,16,5,8.139,35.0709
309,2019,6,8,16,10,8.139,35.0679
310,2019,6,8,16,15,8.138,35.0659
311,2019,6,8,16,20,8.137,35.0669
312,2019,6,8,16,25,8.137,-9.999
313,2019,6,8,16,30,8.131,35.0689
314,2019,6,8,16,35,8.128,35.0709
315,2019,6,8,16,40,8.129,35.0669
316,2019,6,8,16,45,8.127,35.0679
317,2019,6,8,16,50,8.126,35.0679
318,2019,6,8,16,55,8.127,35.0679
319,2019,6,8,17,0,8.124,35.0689
320,2019,6,8,17,5,8.125,35.0679
321,2019,6,8,17,10,8.125,35.0689
322,2019,6,8,17,15,8.124,35.0689
323,2019,6,8,17,20,8.125,35.0679
324,2019,6,8,17,25,8.126,35.0669
325,2019,6,8,17,30,8.128,35.0679
326,2019,6,8,17,35,8.129,35.0679
327,2019,6,8,17,40,8.13,35.0689
328,2019,6,8,17,45,8.131,35.0689
329,2019,6,8,17,50,8.13,35.0679
330,2019,6,8,17,55,8.13,35.0689
331,2019,6,8,18,0,8.129,35.0689
332,2019,6,8,18,5,8.13,35.0679
333,2019,6,8,18,10,8.131,35.0689
334,2019,6,8,18,15,8.133,35.0679
335,2019,6,8,18,20,8.137,35.0689
336,2019,6,8,18,25,8.142,35.0679
337,2019,6,8,18,30,8.141,35.0689
338,2019,6,8,18,35,8.142,35.0689
339,2019,6,8,18,40,8.139,35.0699
340,2019,6,8,18,45,8.136,35.0709
341,2019,6,8,18,50,8.135,35.0709
342,2019,6,8,18,55,8.133,35.0709
343,2019,6,8,19,0,8.126,35.0739
344,2019,6,8,19,5,8.123,35.0719
345,2019,6,8,19,10,8.12,35.0729
346,2019,6,8,19,15,8.116,35.0739
347,2019,6,8,19,20,8.114,35.0709
348,2019,6,8,19,25,8.114,35.0689
349,2019,6,8,19,30,8.113,35.0709
350,2019,6,8,19,35,8.111,35.0729
351,2019,6,8,19,40,8.109,35.0729
352,2019,6,8,19,45,8.108,35.0719
353,2019,6,8,19,50,8.106,35.0719
354,2019,6,8,19,55,8.105,35.0719
355,2019,6,8,20,0,8.105,35.0719
356,2019,6,8,20,5,8.11,35.0699
357,2019,6,8,20,10,8.107,35.0729
358,2019,6,8,20,15,8.107,35.0719
359,2019,6,8,20,20,8.106,35.0729
360,2019,6,8,20,25,8.103,35.0729
361,2019,6,8,20,30,8.104,35.0719
362,2019,6,8,20,35,8.106,35.0699
363,2019,6,8,20,40,8.104,35.0719
364,2019,6,8,20,45,8.099,35.0769
365,2019,6,8,20,50,8.096,35.0719
366,2019,6,8,20,55,8.093,35.0729
367,2019,6,8,21,0,8.091,35.0729
368,2019,6,8,21,5,8.092,35.0699
369,2019,6,8,21,10,8.093,35.0699
370,2019,6,8,21,15,8.095,35.0669
371,2019,6,8,21,20,8.088,35.0719
372,2019,6,8,21,25,8.09,35.0689
373,2019,6,8,21,30,8.092,35.0679
374,2019,6,8,21,35,8.093,35.0679
375,2019,6,8,21,40,8.095,35.0679
376,2019,6,8,21,45,8.099,35.0689
377,2019,6,8,21,50,8.101,35.0689
378,2019,6,8,21,55,8.101,35.0709
379,2019,6,8,22,0,8.099,35.0709
380,2019,6,8,22,5,8.1,35.0679
381,2019,6,8,22,10,8.099,35.0699
382,2019,6,8,22,15,8.098,35.0689
383,2019,6,8,22,20,8.1,35.0679
384,2019,6,8,22,25,8.1,35.0699
385,2019,6,8,22,30,8.104,35.0689
386,2019,6,8,22,35,8.104,35.0699
387,2019,6,8,22,40,8.104,35.0709
388,2019,6,8,22,45,8.11,35.0659
389,2019,6,8,22,50,8.107,35.0679
390,2019,6,8,22,55,8.106,35.0679
391,2019,6,8,23,0,8.109,35.0659
392,2019,6,8,23,5,8.103,35.0679
393,2019,6,8,23,10,8.105,35.0649
394,2019,6,8,23,15,8.102,35.0679
395,2019,6,8,23,20,8.099,35.0679
396,2019,6,8,23,25,8.096,35.0669
397,2019,6,8,23,30,8.095,35.0669
398,2019,6,8,23,35,8.095,35.0659
399,2019,6,8,23,40,8.097,35.0689
400,2019,6,8,23,45,8.098,35.0689
401,2019,6,8,23,50,8.101,35.0689
402,2019,6,8,23,55,8.103,35.0709
403,2019,6,9,0,0,8.106,35.0729
404,2019,6,9,0,5,8.108,35.0739
405,2019,6,9,0,10,8.109,-9.999
406,2019,6,9,0,15,8.108,35.0749
407,2019,6,9,0,20,8.11,35.0749
408,2019,6,9,0,25,8.112,35.0759
409,2019,6,9,0,30,8.111,35.0759
410,2019,6,9,0,35,8.111,35.0739
411,2019,6,9,0,40,8.111,35.0729
412,2019,6,9,0,45,8.112,35.0709
413,2019,6,9,0,50,8.111,35.0749
414,2019,6,9,0,55,8.108,35.0729
415,2019,6,9,1,0,8.109,35.0699
416,2019,6,9,1,5,8.106,35.0709
417,2019,6,9,1,10,8.108,35.0729
418,2019,6,9,1,15,8.111,35.0729
419,2019,6,9,1,20,8.11,35.0739
420,2019,6,9,1,25,8.112,35.0719
421,2019,6,9,1,30,8.114,35.0689
422,2019,6,9,1,35,8.113,35.0709
423,2019,6,9,1,40,8.114,35.0709
424,2019,6,9,1,45,8.112,35.0709
425,2019,6,9,1,50,8.113,35.0699
426,2019,6,9,1,55,8.114,35.0679
427,2019,6,9,2,0,8.11,35.0689
428,2019,6,9,2,5,8.106,35.0709
